CountyDistrictSchool|School Year|SPED Percentage
710005000|20102011|0.1417
710005000|20112012|0.1306
710005000|20122013|0.1261
710005000|20132014|0.1419
710067000|20092010|0.1467
710067000|20102011|0.1200
710067000|20112012|0.1700
710067000|20122013|0.1850
710067000|20132014|0.2049
720015000|20092010|0.1459
720015000|20102011|0.1565
720015000|20112012|0.1425
720015000|20122013|0.1707
720015000|20132014|0.1831
720019000|20092010|0.1741
720019000|20102011|0.1756
720019000|20112012|0.2058
720019000|20122013|0.1959
720019000|20132014|0.2033
720032000|20092010|0.1287
720032000|20102011|0.1318
720032000|20112012|0.1439
720032000|20122013|0.1340
720032000|20132014|0.1617
720075000|20092010|0.1216
720075000|20102011|0.1164
720075000|20112012|0.1053
720075000|20122013|0.1652
720075000|20132014|0.1878
730017000|20092010|0.1775
730017000|20102011|0.1744
730017000|20112012|0.1589
730017000|20122013|0.1500
730017000|20132014|0.1711
730179000|20092010|0.1906
730179000|20102011|0.1641
730179000|20112012|0.1579
730179000|20122013|0.1508
730179000|20132014|0.1590
740056000|20092010|0.1793
740056000|20102011|0.1908
740056000|20112012|0.2113
740056000|20122013|0.2000
740056000|20132014|0.2345
740070000|20092010|0.1916
740070000|20102011|0.1520
740070000|20112012|0.1710
740070000|20122013|0.1683
740070000|20132014|0.2080
750100000|20092010|0.1340
750100000|20102011|0.1300
750100000|20112012|0.1584
750100000|20122013|0.1451
750100000|20132014|0.1546
760002000|20092010|0.1117
760002000|20102011|0.1045
760002000|20112012|0.1263
760002000|20122013|0.1374
760002000|20132014|0.1776
760044000|20092010|0.1388
760044000|20102011|0.0909
760044000|20112012|0.1397
760044000|20122013|0.1462
760044000|20132014|0.1437
760068000|20092010|0.1815
760068000|20102011|0.1650
760068000|20112012|0.1611
760068000|20122013|0.1625
760068000|20132014|0.2167
760082000|20092010|0.1268
760082000|20102011|0.1268
760082000|20112012|0.1352
760082000|20122013|0.1204
760082000|20132014|0.1234
770001000|20092010|0.1376
770001000|20102011|0.1442
770001000|20112012|0.1398
770001000|20122013|0.1647
770001000|20132014|0.1796
770027000|20092010|0.1165
770027000|20102011|0.1140
770027000|20112012|0.1159
770027000|20122013|0.1195
770027000|20132014|0.1247
770037000|20092010|0.1212
770037000|20102011|0.1189
770037000|20112012|0.1165
770037000|20122013|0.1191
770037000|20132014|0.1228
770046000|20092010|0.1679
770046000|20102011|0.1635
770046000|20112012|0.1444
770046000|20122013|0.1528
770046000|20132014|0.1485
780001000|20092010|0.1100
780001000|20102011|0.1171
780001000|20112012|0.1363
780001000|20122013|0.1452
780001000|20132014|0.1717
780009000|20092010|0.1878
780009000|20102011|0.1587
780009000|20112012|0.1706
780009000|20122013|0.1768
780009000|20132014|0.1804
780039000|20092010|0.1727
780039000|20102011|0.1834
780039000|20112012|0.1760
780039000|20122013|0.2124
780039000|20132014|0.2272
780072000|20092010|0.1111
780072000|20102011|0.1395
