id|year|reading_avg_score|reading_grade|reading_basic_pct|reading_proficient_pct|reading_advanced_pct|reading_not_tested_pct|concat_join_id
022001008|2012-2013|126.83|11|-1.00|0.39|0.39|0|0220010082012-2013
022001008|2013-2014|98.80|11|0.30|0.60|-1.00|0|0220010082013-2014
022001008|2014-2015|111.38|11|0.38|0.34|0.28|0|0220010082014-2015
022001009|2011-2012|92.26|11|0.42|0.47|-1.00|0|0220010092011-2012
022001009|2012-2013|110.05|11|0.25|0.50|0.25|0|0220010092012-2013
022001009|2013-2014|114.74|11|-1.00|0.63|-1.00|0|0220010092013-2014
022001009|2014-2015|115.29|11|-1.00|0.79|-1.00|0|0220010092014-2015
022001010|2011-2012|111.43|05|0.36|0.36|-1.00|0|0220010102011-2012
022001010|2012-2013|-1.00|05|-1.00|-1.00|-1.00|0|0220010102012-2013
022001010|2013-2014|107.92|05|-1.00|0.42|-1.00|0|0220010102013-2014
022001010|2011-2012|119.00|06|-1.00|0.50|-1.00|0|0220010102011-2012
022001010|2012-2013|109.07|06|-1.00|0.53|-1.00|0|0220010102012-2013
022001010|2013-2014|-1.00|06|-1.00|-1.00|-1.00|0|0220010102013-2014
022001010|2011-2012|107.82|07|-1.00|0.59|-1.00|0|0220010102011-2012
022001010|2012-2013|-1.00|07|-1.00|-1.00|-1.00|0|0220010102012-2013
022001010|2013-2014|96.00|07|0.50|0.31|-1.00|0|0220010102013-2014
022001010|2014-2015|110.27|07|-1.00|0.45|-1.00|0|0220010102014-2015
022001010|2011-2012|108.47|08|-1.00|0.67|-1.00|0|0220010102011-2012
022001010|2012-2013|118.21|08|-1.00|0.50|-1.00|0|0220010102012-2013
022001010|2013-2014|95.00|08|-1.00|-1.00|-1.00|0|0220010102013-2014
022001010|2014-2015|96.00|08|0.44|0.38|-1.00|0|0220010102014-2015
030500001|2011-2012|153.27|07|-1.00|-1.00|0.82|0|0305000012011-2012
030500001|2012-2013|-1.00|07|-1.00|-1.00|-1.00|0|0305000012012-2013
030500001|2013-2014|-1.00|07|-1.00|-1.00|-1.00|0|0305000012013-2014
030500001|2014-2015|-1.00|07|-1.00|-1.00|-1.00|0|0305000012014-2015
030500001|2011-2012|-1.00|08|-1.00|-1.00|-1.00|0|0305000012011-2012
