CountyDistrictSchool|School Year|HAL Percentage
010123000|20122013|0.1905
020009000|20122013|0.4103
020018000|20122013|0.2335
022001000|20122013|0.1311
030500000|20122013|0.1000
040001000|20122013|0.1714
050071000|20122013|-1.0000
060001000|20122013|0.0758
060006000|20122013|0.1875
060017000|20122013|0.1567
070006000|20122013|0.1373
070010000|20122013|0.1303
080036000|20122013|0.2805
080050000|20122013|0.2095
090010000|20122013|0.1638
100002000|20122013|0.0356
100007000|20122013|0.1168
100009000|20122013|0.1282
100019000|20122013|0.1358
100069000|20122013|0.1316
100105000|20122013|0.2115
100119000|20122013|0.0554
110001000|20122013|0.1283
110014000|20122013|0.2660
110020000|20122013|0.0493
120056000|20122013|0.0537
120502000|20122013|0.2281
130001000|20122013|0.1315
130022000|20122013|0.0976
130032000|20122013|0.1456
130056000|20122013|0.1083
130097000|20122013|0.2617
140008000|20122013|0.0680
140045000|20122013|0.1523
140054000|20122013|0.1284
140101000|20122013|0.1074
140541000|20122013|0.1531
150010000|20122013|0.1289
150536000|20122013|0.1629
160006000|20122013|0.0327
160030000|20122013|0.0840
170001000|20122013|0.1679
170003000|20122013|-1.0000
170009000|20122013|0.3264
180002000|20122013|0.2817
180011000|20122013|0.1852
190039000|20122013|-1.0000
190058000|20122013|0.3395
190070000|20122013|0.1521
190123000|20122013|0.0573
200001000|20122013|0.1654
200020000|20122013|0.1603
200030000|20122013|0.1876
210015000|20122013|0.1357
210025000|20122013|0.0964
210044000|20122013|0.2329
210084000|20122013|0.1257
210089000|20122013|0.1746
210180000|20122013|-1.0000
220011000|20122013|0.0506
220031000|20122013|0.3028
230002000|20122013|0.1597
230071000|20122013|0.1500
240001000|20122013|0.0934
240004000|20122013|0.0503
240011000|20122013|0.1134
240020000|20122013|0.1333
240101000|20122013|0.0884
250025000|20122013|0.2381
250095000|20122013|0.0769
260001000|20122013|-1.0000
260024000|20122013|0.1236
260070000|20122013|0.0995
260561000|20122013|0.1532
270001000|20122013|0.1726
270062000|20122013|0.1086
270594000|20122013|0.0535
270595000|20122013|0.1607
280001000|20122013|0.1694
280010000|20122013|0.1633
280015000|20122013|0.2607
280017000|20122013|0.3169
280054000|20122013|0.1572
280059000|20122013|0.1818
280066000|20122013|0.1041
290117000|20122013|0.1055
300001000|20122013|0.1510
300025000|20122013|0.1199
300054000|20122013|-1.0000
310506000|20122013|0.1126
320046000|20122013|0.1702
320095000|20122013|0.0938
320125000|20122013|0.2207
330018000|20122013|0.0947
330021000|20122013|0.0500
330540000|20122013|0.0597
340001000|20122013|1.0633
340015000|20122013|0.0921
340034000|20122013|0.1213
340100000|20122013|0.2811
350001000|20122013|0.0955
360100000|20122013|0.2067
370030000|20122013|0.1739
380011000|20122013|-1.0000
390010000|20122013|0.1500
390055000|20122013|0.3333
390501000|20122013|1.1655
400002000|20122013|0.0717
400082000|20122013|0.1573
400083000|20122013|0.0447
400126000|20122013|0.0734
410002000|20122013|0.1462
410091000|20122013|0.1386
410504000|20122013|0.1041
420002000|20122013|0.1697
430079000|20122013|-1.0000
440070000|20122013|0.0781
450007000|20122013|0.1489
450029000|20122013|0.0952
450044000|20122013|-1.0000
450137000|20122013|0.0902
450239000|20122013|-1.0000
460001000|20122013|0.1813
470001000|20122013|0.1091
470100000|20122013|0.0263
470103000|20122013|-1.0000
480008000|20122013|0.0801
480300000|20122013|0.1556
480303000|20122013|0.1781
490033000|20122013|0.1779
490050000|20122013|0.0701
500001000|20122013|0.1782
500501000|20122013|0.0821
500503000|20122013|0.1563
510001000|20122013|0.1590
510006000|20122013|0.1036
520100000|20122013|0.1596
530001000|20122013|0.0778
540013000|20122013|0.0417
540096000|20122013|0.1185
540501000|20122013|0.2455
540505000|20122013|0.2468
540576000|20122013|0.0509
540586000|20122013|0.1942
550001000|20122013|0.1468
550145000|20122013|0.0317
550148000|20122013|0.0557
550160000|20122013|0.2642
550161000|20122013|0.1667
560001000|20122013|0.0835
560006000|20122013|0.1055
560007000|20122013|0.1379
560037000|20122013|0.0873
560055000|20122013|0.1891
560565000|20122013|0.2995
